iter	Passed	Remaining
756	5461	1753
757	5468	1746
758	5475	1738
759	5482	1731
760	5490	1724
761	5497	1716
762	5503	1709
763	5510	1702
764	5517	1694
765	5523	1687
766	5530	1680
767	5537	1672
768	5544	1665
769	5551	1658
770	5558	1650
771	5565	1643
772	5572	1636
773	5579	1629
774	5586	1621
775	5593	1614
776	5601	1607
777	5608	1600
778	5614	1592
779	5621	1585
780	5628	1578
781	5635	1571
782	5641	1563
783	5648	1556
784	5655	1548
785	5661	1541
786	5668	1534
787	5674	1526
788	5681	1519
789	5688	1512
790	5695	1504
791	5703	1497
792	5710	1490
793	5717	1483
794	5723	1475
795	5730	1468
796	5737	1461
797	5743	1453
798	5750	1446
799	5757	1439
800	5763	1431
801	5769	1424
802	5775	1417
803	5782	1409
804	5788	1402
805	5795	1394
806	5802	1387
807	5808	1380
808	5815	1372
809	5821	1365
810	5827	1358
811	5834	1350
812	5840	1343
813	5847	1336
814	5855	1329
815	5863	1322
816	5870	1314
817	5876	1307
818	5883	1300
819	5889	1292
820	5896	1285
821	5903	1278
822	5912	1271
823	5919	1264
824	5926	1257
825	5933	1249
826	5940	1242
827	5947	1235
828	5954	1228
829	5960	1220
830	5967	1213
831	5974	1206
832	5980	1198
833	5986	1191
834	5993	1184
835	5999	1177
836	6006	1169
837	6013	1162
838	6020	1155
839	6026	1147
840	6033	1140
841	6046	1134
842	6057	1128
843	6066	1121
844	6073	1114
845	6080	1106
846	6087	1099
847	6094	1092
848	6102	1085
849	6114	1078
850	6127	1072
851	6138	1066
852	6146	1059
853	6153	1051
854	6158	1044
855	6165	1037
856	6171	1029
857	6177	1022
858	6184	1015
859	6191	1007
860	6197	1000
861	6204	993
862	6211	986
863	6217	978
864	6224	971
865	6230	964
866	6237	956
867	6244	949
868	6252	942
869	6260	935
870	6268	928
871	6276	921
872	6286	914
873	6299	908
874	6307	901
875	6317	894
876	6324	887
877	6332	879
878	6338	872
879	6344	865
880	6352	858
881	6359	850
882	6366	843
883	6372	836
884	6379	828
885	6386	821
886	6392	814
887	6399	807
888	6406	799
889	6413	792
890	6419	785
891	6427	778
892	6434	770
893	6440	763
894	6447	756
895	6454	749
896	6460	741
897	6467	734
898	6473	727
899	6480	720
900	6486	712
901	6493	705
902	6500	698
903	6507	691
904	6515	683
905	6521	676
906	6529	669
907	6535	662
908	6541	654
909	6549	647
910	6556	640
911	6562	633
912	6569	626
913	6575	618
914	6582	611
915	6588	604
916	6595	596
917	6602	589
918	6608	582
919	6615	575
920	6621	567
921	6628	560
922	6634	553
923	6641	546
924	6648	539
925	6655	531
926	6662	524
927	6668	517
928	6675	510
929	6681	502
930	6688	495
931	6695	488
932	6701	481
933	6708	474
934	6716	466
935	6722	459
936	6729	452
937	6736	445
938	6743	438
939	6749	430
940	6756	423
941	6762	416
942	6768	409
943	6775	401
944	6782	394
945	6789	387
946	6795	380
947	6802	373
948	6809	365
949	6815	358
950	6822	351
951	6829	344
952	6836	337
953	6843	329
954	6849	322
955	6856	315
956	6863	308
957	6869	301
958	6876	293
959	6882	286
960	6889	279
961	6895	272
962	6902	265
963	6909	258
964	6916	250
965	6923	243
966	6930	236
967	6937	229
968	6944	222
969	6950	214
970	6957	207
971	6964	200
972	6971	193
973	6977	186
974	6984	179
975	6991	171
976	6998	164
977	7004	157
978	7011	150
979	7017	143
980	7024	136
981	7031	128
982	7037	121
983	7043	114
984	7050	107
985	7057	100
986	7063	93
987	7070	85
988	7077	78
989	7083	71
990	7090	64
991	7097	57
992	7103	50
993	7111	42
994	7118	35
995	7125	28
996	7132	21
997	7138	14
998	7144	7
999	7151	0
